procedure_area,property_type_id,property_sub_type_id,area_id,property_total_value,row_status,property_category,Year,Month
3789.05,1,65.0,240.0,20343000.0,1,1,2012,4
1868.84,1,65.0,378.0,5998500.0,1,1,2012,4
3763.78,1,65.0,378.0,20000000.0,1,1,2012,4
1393.55,1,65.0,355.0,2250000.0,1,1,2012,4
4505.52,1,65.0,376.0,14549100.0,1,1,2012,4
1393.55,1,63.0,297.0,3600000.0,1,2,2012,4
138.43,3,42.0,443.0,1800000.0,1,3,2012,1
76.22,3,60.0,351.0,700000.0,1,2,2012,6
4299.37,1,63.0,317.0,20825100.0,1,2,2012,8
126.91,3,60.0,330.0,1100000.0,1,2,2012,8
717.58,1,63.0,306.0,1000000.0,1,2,2012,8
172.89,3,60.0,526.0,1550000.0,1,2,2012,10
3747.06,1,38.0,330.0,48382038.0,1,2,2012,5
2085.21,1,63.0,434.0,1683375.0,1,2,2012,5
59.37,3,60.0,350.0,750000.0,1,2,2012,5
2787.09,1,65.0,271.0,18000000.0,1,1,2012,5
1381.1,1,63.0,232.0,4311140.0,1,2,2012,5
1021.93,1,63.0,234.0,2500000.0,1,2,2012,5
4347.86,1,65.0,363.0,30000000.0,1,1,2012,5
1449.29,1,63.0,304.0,6240000.0,1,2,2012,5
3716.12,1,63.0,374.0,26000000.0,1,2,2012,5
594.58,1,63.0,304.0,4000000.0,1,2,2012,5
223.12,2,4.0,434.0,1400000.0,1,2,2012,5
692.31,1,63.0,232.0,1490400.0,1,2,2012,3
1486.91,1,63.0,311.0,2240700.0,1,2,2012,5
924.57,1,63.0,232.0,2488000.0,1,2,2012,10
1858.06,1,63.0,232.0,5600000.0,1,2,2012,10
1804.55,1,63.0,396.0,4800000.0,1,2,2012,10
1393.55,1,63.0,232.0,4200000.0,1,2,2012,10
72.57,3,60.0,526.0,600000.0,1,2,2012,6
3716.12,1,63.0,374.0,30000000.0,1,2,2012,6
209.03,1,63.0,317.0,900000.0,1,2,2012,6
3716.12,1,63.0,374.0,30000000.0,1,2,2012,6
473.43,1,63.0,328.0,1300000.0,1,2,2012,6
186.52,3,60.0,330.0,1646560.0,1,2,2012,2
185.66,3,60.0,330.0,1698300.0,1,2,2012,2
